evaluation_id,analysis_date,alert_id,alert_timestamp,alert_description,predicted_ttps,predicted_cves,real_ttps,real_cves,report_path,execution_time,token_usage,llm_calls,node_breakdown
,2026-06-04 13:29:25.591824,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,[],[],['T1057'],[],reports/report_1758566220.114981.md,4.68,"{'prompt_tokens': 0, 'completion_tokens': 0, 'total_tokens': 0}",0,"{""classification"": {""duration_s"": 1.16, ""prompt_tokens"": 2908, ""completion_tokens"": 130, ""total_tokens"": 3038}, ""mitre_search_node"": {""duration_s"": 0.08, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.19, ""prompt_tokens"": 3532, ""completion_tokens"": 912, ""total_tokens"": 4444}}"
,2026-06-04 13:38:54.954028,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,[],[],['T1057'],[],reports/report_1758566220.114981.md,4.38,"{'prompt_tokens': 0, 'completion_tokens': 0, 'total_tokens': 0}",0,"{""classification"": {""duration_s"": 1.09, ""prompt_tokens"": 2908, ""completion_tokens"": 112, ""total_tokens"": 3020}, ""mitre_search_node"": {""duration_s"": 0.06, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.01, ""prompt_tokens"": 3333, ""completion_tokens"": 891, ""total_tokens"": 4224}}"
,2026-06-04 13:38:58.649569,1758567061.1156068,2025-09-22 18:51:01.034000+00:00,sshd: authentication success.,[],[],"['T1078', 'T1021']",[],reports/report_1758567061.1156068.md,3.69,"{'prompt_tokens': 0, 'completion_tokens': 0, 'total_tokens': 0}",0,"{""classification"": {""duration_s"": 0.89, ""prompt_tokens"": 4340, ""completion_tokens"": 228, ""total_tokens"": 4568}, ""mitre_search_node"": {""duration_s"": 0.05, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.75, ""prompt_tokens"": 6323, ""completion_tokens"": 1623, ""total_tokens"": 7946}}"
,2026-06-04 13:39:03.549819,1758567061.115612,2025-09-22 18:51:01.061000+00:00,PAM: Login session opened.,[],[],['T1078'],[],reports/report_1758567061.115612.md,4.9,"{'prompt_tokens': 0, 'completion_tokens': 0, 'total_tokens': 0}",0,"{""classification"": {""duration_s"": 0.92, ""prompt_tokens"": 5612, ""completion_tokens"": 325, ""total_tokens"": 5937}, ""mitre_search_node"": {""duration_s"": 0.03, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.94, ""prompt_tokens"": 8789, ""completion_tokens"": 2895, ""total_tokens"": 11684}}"
,2026-06-04 13:49:47.676733,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,['T1057'],[],['T1057'],[],reports/report_1758566220.114981.md,4.38,"{'prompt_tokens': 0, 'completion_tokens': 0, 'total_tokens': 0}",0,"{""classification"": {""duration_s"": 0.99, ""prompt_tokens"": 2908, ""completion_tokens"": 110, ""total_tokens"": 3018}, ""mitre_search_node"": {""duration_s"": 0.05, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.11, ""prompt_tokens"": 3333, ""completion_tokens"": 895, ""total_tokens"": 4228}}"
,2026-06-04 13:49:51.098550,1758567061.1156068,2025-09-22 18:51:01.034000+00:00,sshd: authentication success.,['T1021.004'],[],"['T1078', 'T1021']",[],reports/report_1758567061.1156068.md,3.42,"{'prompt_tokens': 0, 'completion_tokens': 0, 'total_tokens': 0}",0,"{""classification"": {""duration_s"": 0.89, ""prompt_tokens"": 4340, ""completion_tokens"": 225, ""total_tokens"": 4565}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.5, ""prompt_tokens"": 6323, ""completion_tokens"": 1639, ""total_tokens"": 7962}}"
,2026-06-04 13:49:54.682817,1758567061.115612,2025-09-22 18:51:01.061000+00:00,PAM: Login session opened.,['T1021.004'],[],['T1078'],[],reports/report_1758567061.115612.md,3.58,"{'prompt_tokens': 0, 'completion_tokens': 0, 'total_tokens': 0}",0,"{""classification"": {""duration_s"": 0.8, ""prompt_tokens"": 5612, ""completion_tokens"": 322, ""total_tokens"": 5934}, ""mitre_search_node"": {""duration_s"": 0.04, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.74, ""prompt_tokens"": 9011, ""completion_tokens"": 2397, ""total_tokens"": 11408}}"
,2026-06-05 14:04:38.019392,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,['T1057'],[],['T1057'],[],reports/report_1758566220.114981.md,21.14,"{'prompt_tokens': 8733, 'completion_tokens': 1772, 'total_tokens': 10505}",3,"{""classification"": {""duration_s"": 1.14, ""prompt_tokens"": 2908, ""completion_tokens"": 130, ""total_tokens"": 3038}, ""mitre_search_node"": {""duration_s"": 0.05, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 16.62, ""prompt_tokens"": 3838, ""completion_tokens"": 916, ""total_tokens"": 4754}, ""final_report_node"": {""duration_s"": 3.13, ""prompt_tokens"": 1987, ""completion_tokens"": 726, ""total_tokens"": 2713}}"
,2026-06-05 14:04:44.083284,1758567061.1156068,2025-09-22 18:51:01.034000+00:00,sshd: authentication success.,['T1021.004'],[],"['T1078', 'T1021']",[],reports/report_1758567061.1156068.md,6.05,"{'prompt_tokens': 5528, 'completion_tokens': 1523, 'total_tokens': 7051}",3,"{""classification"": {""duration_s"": 0.84, ""prompt_tokens"": 4340, ""completion_tokens"": 246, ""total_tokens"": 4586}, ""mitre_search_node"": {""duration_s"": 0.03, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.7, ""prompt_tokens"": 6828, ""completion_tokens"": 1706, ""total_tokens"": 8534}, ""final_report_node"": {""duration_s"": 2.47, ""prompt_tokens"": 3093, ""completion_tokens"": 1343, ""total_tokens"": 4436}}"
,2026-06-05 14:04:50.914252,1758567061.115612,2025-09-22 18:51:01.061000+00:00,PAM: Login session opened.,['T1021.004'],[],['T1078'],[],reports/report_1758567061.115612.md,6.83,"{'prompt_tokens': 4959, 'completion_tokens': 1505, 'total_tokens': 6464}",3,"{""classification"": {""duration_s"": 0.87, ""prompt_tokens"": 5612, ""completion_tokens"": 343, ""total_tokens"": 5955}, ""mitre_search_node"": {""duration_s"": 0.04, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.79, ""prompt_tokens"": 9516, ""completion_tokens"": 2470, ""total_tokens"": 11986}, ""final_report_node"": {""duration_s"": 3.12, ""prompt_tokens"": 4092, ""completion_tokens"": 1987, ""total_tokens"": 6079}}"
,2026-06-05 14:13:10.896487,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,['T1057'],[],['T1057'],[],,4.63,"{'prompt_tokens': 6452, 'completion_tokens': 1041, 'total_tokens': 7493}",2,"{""classification"": {""duration_s"": 1.1, ""prompt_tokens"": 2908, ""completion_tokens"": 127, ""total_tokens"": 3035}, ""mitre_search_node"": {""duration_s"": 0.05, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.29, ""prompt_tokens"": 3544, ""completion_tokens"": 914, ""total_tokens"": 4458}}"
,2026-06-05 14:13:16.983865,1758567061.1156068,2025-09-22 18:51:01.034000+00:00,sshd: authentication success.,"['T1098.004', 'T1021.004', 'T1078.001']",[],"['T1078', 'T1021']",[],,6.08,"{'prompt_tokens': 4422, 'completion_tokens': 1939, 'total_tokens': 6361}",2,"{""classification"": {""duration_s"": 0.95, ""prompt_tokens"": 4340, ""completion_tokens"": 242, ""total_tokens"": 4582}, ""mitre_search_node"": {""duration_s"": 0.04, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 5.08, ""prompt_tokens"": 6534, ""completion_tokens"": 2738, ""total_tokens"": 9272}}"
,2026-06-05 14:13:22.872538,1758567061.115612,2025-09-22 18:51:01.061000+00:00,PAM: Login session opened.,"['T1021.004', 'T1021']",[],['T1078'],[],,5.89,"{'prompt_tokens': 4149, 'completion_tokens': 1376, 'total_tokens': 5525}",2,"{""classification"": {""duration_s"": 0.87, ""prompt_tokens"": 5612, ""completion_tokens"": 339, ""total_tokens"": 5951}, ""mitre_search_node"": {""duration_s"": 0.04, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 4.98, ""prompt_tokens"": 9411, ""completion_tokens"": 4017, ""total_tokens"": 13428}}"
,2026-06-05 14:18:21.637701,1758566220.114981,2025-09-22 18:37:00.601000+00:00,Processes running for all users were queried with ps command.,['T1057'],[],['T1057'],[],,4.27,"{'prompt_tokens': 6337, 'completion_tokens': 1004, 'total_tokens': 7341}",2,"{""classification"": {""duration_s"": 1.07, ""prompt_tokens"": 2908, ""completion_tokens"": 117, ""total_tokens"": 3025}, ""mitre_search_node"": {""duration_s"": 0.05, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.93, ""prompt_tokens"": 3429, ""completion_tokens"": 887, ""total_tokens"": 4316}}"
,2026-06-05 14:18:24.594204,1758567061.1156068,2025-09-22 18:51:01.034000+00:00,sshd: authentication success.,['T1021'],[],"['T1078', 'T1021']",[],,2.95,"{'prompt_tokens': 3851, 'completion_tokens': 604, 'total_tokens': 4455}",2,"{""classification"": {""duration_s"": 0.88, ""prompt_tokens"": 4340, ""completion_tokens"": 233, ""total_tokens"": 4573}, ""mitre_search_node"": {""duration_s"": 0.02, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 2.04, ""prompt_tokens"": 5848, ""completion_tokens"": 1375, ""total_tokens"": 7223}}"
,2026-06-05 14:18:28.474029,1758567061.115612,2025-09-22 18:51:01.061000+00:00,PAM: Login session opened.,['T1021'],[],['T1078'],[],,3.88,"{'prompt_tokens': 3790, 'completion_tokens': 1052, 'total_tokens': 4842}",2,"{""classification"": {""duration_s"": 0.79, ""prompt_tokens"": 5612, ""completion_tokens"": 339, ""total_tokens"": 5951}, ""mitre_search_node"": {""duration_s"": 0.04, ""prompt_tokens"": 0, ""completion_tokens"": 0, ""total_tokens"": 0}, ""validation_node"": {""duration_s"": 3.04, ""prompt_tokens"": 8366, ""completion_tokens"": 2321, ""total_tokens"": 10687}}"
